 ++ Standard Residual without abs:
#
 0,                  DS2,LGBM,  0.01,  0.01, *-                  |                   
#
 1,                  non,asIs,  0.09,  0.09,  --  *   ---------  |                   
 1,                   RS,asIs,  0.11,  0.11,  --   *   --------  |                   
 1,                  DS2,asIs,  0.11,  0.11,  --   *   --------  |                   
#
 2,               kmeans-5,k3,  0.12,  0.13,  ---   *    --------|                   
 2,                   DS,asIs,  0.12,  0.12,  ---   *    ------  |                   
 2,               kmeans-3,k3,  0.13,  0.13,  ---   *    --------|                   
 2,               kmeans-5,k5,  0.13,  0.14,  ---    *    -------|                   
#
 3,               kmeans-5,k1,  0.16,  0.13,  -----   *    ------|--                 
 3,               kmeans-1,k1,  0.16,  0.14,  -----    *   ------|---                
 3,               kmeans-3,k1,  0.17,  0.15,  ----     *    -----|--                 
