name,"""non-asIs""","""RS-asIs""","""RS-mid-leaf""","""RS-k1""","""RS-k3""","""RS-SVR""","""RS-RR""","""RS-LR""","""RS-k5""","""RS-LSR""","""DS-asIs""","""RS-LGBM""","""DS-mid-leaf""","""DS-k1""","""DS-k3""","""DS-SVR""","""DS-RR""","""DS-LR""","""DS-k5""","""DS-LSR""","""DS-LGBM""","""non-mid-leaf""","""non-k1""","""non-RR""","""non-LSR""","""non-k3""","""non-LR""","""non-k5""","""non-SVR""","""non-LGBM""","""kmeans-mid-leaf""","""kmeans-k1""","""kmeans-k3""","""kmeans-k5"""
SS-B.csv,0.07,1.0,1.23,2.25,2.38,2.79,2.89,2.9,2.51,2.92,3.16,4.19,3.37,4.4,4.52,4.96,5.02,5.05,4.66,5.06,6.3,5.99,7.84,7.67,7.76,7.94,7.73,8.07,11.5,17.38,19.75,20.39,20.47,20.57
SS-C.csv,0.32,10.63,11.42,23.58,24.44,13.34,13.0,13.04,25.39,13.04,25.53,14.58,26.22,35.93,36.79,28.09,27.78,27.81,37.75,27.81,28.88,69.44,88.43,71.04,71.09,89.25,71.12,90.25,154.4,122.65,99.76,146.05,146.13,147.64
SS-D.csv,0.08,1.0,1.24,2.24,2.36,2.89,3.01,3.01,2.49,3.06,3.17,4.08,3.39,4.39,4.51,5.06,5.16,5.19,4.64,5.21,6.31,5.82,7.27,7.62,7.72,7.37,7.7,7.5,8.69,17.39,20.3,20.93,20.99,21.08
SS-E.csv,0.18,4.39,4.91,9.67,10.08,6.69,6.63,6.7,10.53,6.68,12.61,7.83,13.09,17.32,17.73,14.85,14.81,14.88,18.19,14.87,16.19,29.02,36.46,30.79,30.93,36.87,30.94,37.33,53.23,65.96,37.77,45.02,45.16,45.6
SS-F.csv,0.08,1.01,1.26,2.27,2.38,2.94,3.08,3.09,2.52,3.13,3.3,4.1,3.52,4.53,4.65,5.23,5.35,5.39,4.78,5.42,6.68,5.9,7.5,7.76,7.88,7.6,7.84,7.72,8.79,17.14,19.9,20.52,20.58,20.67
SS-G.csv,0.08,1.03,1.28,2.3,2.42,2.97,3.09,3.13,2.55,3.17,3.38,4.09,3.6,4.63,4.75,5.33,5.45,5.48,4.89,5.51,6.42,5.93,7.57,7.79,7.88,7.67,7.87,7.8,8.84,16.63,20.95,21.61,21.67,21.77
SS-H.csv,0.09,1.54,1.83,3.5,3.69,3.53,3.61,3.63,3.9,3.66,5.29,5.1,5.56,7.23,7.42,7.26,7.34,7.38,7.62,7.37,8.63,9.4,12.2,11.22,11.27,12.38,11.29,12.59,12.18,22.3,27.61,28.83,28.95,29.13
SS-I.csv,0.26,8.39,9.14,19.86,20.83,11.07,10.9,10.99,21.88,10.98,27.49,11.95,28.18,37.17,38.14,30.1,29.94,30.02,39.16,30.01,31.09,64.76,79.27,66.57,66.69,80.21,66.71,81.3,105.8,117.89,120.48,157.19,157.71,159.3
SS-J.csv,0.82,42.53,44.71,89.85,93.92,47.66,46.14,46.22,98.31,46.23,115.96,52.74,117.94,157.16,161.14,120.88,119.36,119.44,165.5,119.44,124.46,322.27,393.84,324.03,324.22,397.58,324.28,401.98,751.44,383.09,399.05,974.85,976.74,983.77
SS-K.csv,0.62,29.12,30.92,61.8,64.63,33.45,32.35,32.41,67.62,32.39,81.82,42.28,83.36,110.72,113.49,85.79,84.76,84.82,116.5,84.8,89.79,230.75,278.41,232.44,232.53,281.07,232.63,284.07,521.55,303.28,297.38,628.53,630.6,635.51
SS-L.csv,0.29,11.13,12.26,29.49,31.16,14.24,13.92,13.97,32.83,13.96,44.55,15.1,45.67,62.69,64.33,47.61,47.32,47.37,65.97,47.34,48.57,96.27,115.05,97.99,98.02,116.64,98.09,118.31,362.65,141.18,206.24,263.58,265.54,268.24
SS-M.csv,0.29,7.64,8.26,16.03,16.78,11.83,11.55,11.39,17.57,11.92,22.28,13.06,22.91,30.2,30.94,26.46,26.19,26.03,31.74,26.54,27.72,51.95,60.74,58.33,60.32,61.52,58.76,62.35,276.33,116.3,61.29,74.27,74.8,75.59
SS-O.csv,0.29,8.45,9.22,19.23,20.17,11.56,11.35,11.41,21.21,11.5,29.36,15.69,30.13,39.46,40.41,32.5,32.27,32.36,41.44,32.46,35.36,70.11,83.37,73.27,73.64,84.34,73.42,85.48,137.72,132.05,78.68,97.22,97.66,98.61
SS-P.csv,0.24,7.01,7.52,13.99,14.61,9.79,9.5,9.46,15.27,9.59,17.96,10.87,18.47,24.85,25.47,20.73,20.45,20.42,26.13,20.54,21.55,44.24,51.38,47.48,47.72,51.98,47.5,52.67,468.59,91.24,74.38,95.44,95.91,96.87
SS-Q.csv,0.78,32.14,34.0,66.47,69.7,38.99,37.16,36.81,73.13,38.7,94.04,44.93,95.88,127.35,130.59,100.92,99.09,98.68,134.04,100.61,106.32,248.34,294.32,253.73,279.56,297.46,254.25,300.91,1873.94,344.94,330.25,598.83,602.02,607.53
SS-R.csv,0.69,33.77,35.67,70.13,73.43,39.4,37.88,37.67,76.98,39.1,95.17,44.32,96.99,130.24,133.45,100.67,99.14,98.95,136.92,100.37,105.01,253.95,299.31,258.17,288.91,302.46,258.36,305.95,640.84,327.54,344.05,642.65,645.34,650.93
SS-S.csv,0.8,40.7,42.87,86.84,90.66,45.75,44.24,44.31,94.77,44.3,110.99,50.45,112.95,150.31,154.04,115.76,114.32,114.37,158.14,114.36,119.58,314.78,378.59,316.71,316.98,382.2,316.94,386.34,728.57,375.07,338.37,824.37,826.27,832.04
SS-T.csv,1.38,74.26,77.06,140.65,146.92,83.45,79.3,79.06,153.57,80.66,190.77,87.06,193.42,255.65,261.85,199.74,195.62,195.43,268.73,197.01,205.87,2127.37,2217.48,2130.6,2182.33,2223.25,2132.1,2230.0,8678.19,2258.96,,,,
SS-U.csv,1.09,58.27,60.49,109.13,113.89,66.02,62.58,62.49,119.02,62.73,149.98,70.68,152.27,202.02,207.01,157.93,154.41,154.29,212.31,154.59,165.58,408.88,469.02,416.28,417.79,473.79,417.93,479.0,12624.61,508.71,,,,
SS-V.csv,1.47,88.52,91.07,159.05,165.36,98.01,92.72,92.8,172.24,93.16,195.74,101.36,198.29,264.74,271.14,205.28,199.93,200.0,278.15,200.39,209.61,589.95,685.11,596.97,613.77,691.09,600.4,698.0,17106.23,683.45,,,,
wc+rs-3d-c4-obj1.csv,0.06,0.9,1.15,2.21,2.33,1.98,2.03,2.08,2.45,2.05,3.16,2.63,3.38,4.44,4.56,4.21,4.26,4.33,4.68,4.3,4.88,5.46,6.96,6.36,6.42,7.05,6.46,7.16,6.84,11.31,20.47,21.08,21.13,21.22
wc+sol-3d-c4-obj1.csv,0.06,0.88,1.12,2.16,2.27,1.94,1.99,2.05,2.39,2.02,3.16,2.56,3.38,4.42,4.53,4.21,4.27,4.33,4.65,4.3,4.82,5.42,6.99,6.32,6.37,7.09,6.41,7.2,6.82,10.95,21.5,22.16,22.21,22.31
wc+wc-3d-c4-obj1.csv,0.06,0.9,1.14,2.19,2.31,1.99,2.05,2.1,2.44,2.07,3.16,2.59,3.38,4.43,4.54,4.24,4.29,4.36,4.66,4.33,4.86,5.47,7.02,6.41,6.46,7.11,6.5,7.22,6.89,12.33,20.63,21.24,21.3,21.39
wc-6d-c1-obj1.csv,0.41,26.13,27.69,60.49,63.14,28.86,28.35,28.43,65.95,28.37,78.33,30.83,79.67,107.06,109.66,80.83,80.34,80.41,112.56,80.35,82.88,207.88,254.55,208.82,208.86,257.06,208.88,259.88,337.28,240.73,279.3,594.2,595.76,600.01
Wine_quality.csv,0.41,17.35,19.54,49.88,52.25,21.58,21.15,21.2,54.76,21.22,67.05,22.54,69.15,99.21,101.62,71.25,70.77,70.84,104.14,70.83,72.01,207.49,368.04,209.74,209.86,370.49,209.91,373.04,539.19,269.63,283.03,462.85,465.2,469.33
X264_AllMeasurements.csv,0.2,8.35,9.05,18.05,18.95,10.29,10.08,10.12,19.92,10.25,26.54,11.13,27.23,35.76,36.65,28.46,28.28,28.31,37.6,28.45,28.9,58.03,68.62,60.1,61.84,69.51,59.93,70.47,294.31,85.3,108.82,141.84,142.6,144.0
xomo_flight.csv,3.27,249.06,260.42,591.67,622.67,284.11,262.03,262.04,654.62,262.08,903.07,282.86,914.35,1226.55,1257.34,937.75,915.97,916.02,1289.23,916.04,938.09,2574.91,2924.38,2579.65,2582.69,2953.24,2586.86,2985.01,10151.98,2903.8,,,,
xomo_ground.csv,3.25,248.16,259.59,573.65,603.09,282.77,261.08,261.08,633.69,261.11,868.34,281.19,879.19,1174.63,1204.19,902.34,880.79,880.77,1234.72,880.8,901.05,2497.77,2830.1,2502.6,2505.32,2857.63,2509.6,2887.91,10288.86,2783.12,,,,
xomo_osp.csv,3.55,256.76,268.62,588.33,619.28,292.68,270.38,270.42,651.24,270.42,936.13,290.18,948.09,1263.59,1295.6,973.2,949.9,949.91,1328.92,949.94,974.19,2651.33,3003.48,2656.28,2658.89,3032.9,2663.33,3065.6,10911.74,2952.37,,,,
xomo_osp2.csv,3.48,255.52,267.18,594.09,625.37,288.53,268.79,268.84,657.54,268.84,898.87,287.06,910.12,1219.52,1250.77,931.57,911.72,911.77,1282.96,911.78,930.45,2609.36,2958.43,2614.5,2616.38,2987.82,2620.23,3020.23,13788.27,3083.33,,,,
